year;month;day;hour;PM10;SO2
2016;3;23;1;38.10709537913;7.81103332837422
2016;3;23;2;46.1772204518636;8.04693331718444
2016;3;23;3;41.6107846064249;8.19078333377838
2016;3;23;4;38.7551078231811;5.31611667076746
2016;3;23;5;40.3952834426879;6.14330000082651
2016;3;23;6;31.6948868616739;7.04599997202555
2016;3;23;7;22.5954320953369;3.45238332947095
2016;3;23;8;20.0525905937194;2.82579999466737
2016;3;23;9;20.2741107165018;2.59901666144529
2016;3;23;10;20.0732091514587;2.54194999895989
2016;3;23;11;16.0191278396606;2.28871666748697
2016;3;23;12;15.0224962519327;2.34256666533959
2016;3;23;13;14.4872130640665;2.13724999137533
2016;3;23;14;15.3199389012654;2.3139166633288
2016;3;23;15;15.2377872629801;2.13534999887148
2016;3;23;16;17.750941120402;1.85508332761625
2016;3;23;17;15.8693463612874;1.80840000066285
2016;3;23;18;16.5030829511006;1.93784999648729
2016;3;23;19;17.4435773109436;2.22381666861474
2016;3;23;20;17.4260451052347;1.80413333411949
2016;3;23;21;16.8371994723002;1.81509999710445
2016;3;23;22;18.6251688316345;1.80923332920065
2016;3;23;23;21.6712524343637;2.04676666508118
2016;3;24;0;23.7433023821297;2.31378333717584
2016;3;24;1;22.5988778747558;-999
2016;3;24;2;23.3889468709309;1.74333333143343
2016;3;24;3;23.8203238728841;2.09513332938465
2016;3;24;4;25.0809431950887;1.98224999631444
2016;3;24;5;25.3346497823079;1.91848333103892
2016;3;24;6;28.6127293304443;1.97554999996403
2016;3;24;7;31.7150128453572;2.74898333127299
2016;3;24;8;33.7394974517822;2.88864998916784
2016;3;24;9;32.7470119635264;4.47385415633519
2016;3;24;10;23.4270219306098;3.12371109856499
2016;3;24;11;23.4394610265095;2.66928333888451
2016;3;24;12;21.9590638275146;2.3120166691641
2016;3;24;13;22.8820069142659;2.45729999542236
2016;3;24;14;19.2826477076212;1.93360000190635
2016;3;24;15;22.5916074961344;2.39233333567778
2016;3;24;16;19.3008994542439;2.39218333860238
2016;3;24;17;21.1664956499735;2.19311667003591
2016;3;24;18;21.2147375188191;2.43606666177511
2016;3;24;19;21.59730447642;2.32303333431482
2016;3;24;20;33.0756377736409;2.4531666740775
2016;3;24;21;33.9608847529093;2.28858332633972
2016;3;24;22;50.9699857340494;2.51085000534852
2016;3;24;23;32.8564832452627;2.44846666852633
2016;3;25;0;28.0399430097159;2.14843333161746
2016;3;25;1;25.6579176127115;1.72845000062758
2016;3;25;2;27.2926594975789;-999
2016;3;25;3;25.3129333333333;2.11871558730961
2016;3;25;4;27.8894759465535;1.91664090425517
2016;3;25;5;28.5575008366902;1.96809143722462
2016;3;25;6;34.1713288930257;1.68548677106581
2016;3;25;7;43.0864105539957;2.90672287365632
2016;3;25;8;29.8232886835734;2.438954610973
2016;3;25;9;21.6374999819437;2.18868474012185
2016;3;25;10;16.8452272377014;20.0699736404228
2016;3;25;11;19.7988649932861;34.9439416070715
2016;3;25;12;19.6221791849772;6.59485674660533
2016;3;25;13;16.7705920122782;12.5726507548708
2016;3;25;14;16.334367904663;12.9607074392118
2016;3;25;15;16.6757548767089;10.2076737816124
2016;3;25;16;17.8927329139709;3.24382125922305
2016;3;25;17;18.6908106081644;1.84331164190328
2016;3;25;18;23.649015048472;1.99398322684788
2016;3;25;19;41.6223904673258;3.43476257131762
2016;3;25;20;60.9026204518636;5.62586574037415
2016;3;25;21;87.1969304260253;4.7440471689501
2016;3;25;22;52.5637752502441;4.44109842582813
2016;3;25;23;67.1613693787817;4.3633872811613
2016;3;26;0;73.2505868530273;4.08899750883961
2016;3;26;1;60.3922914845784;4.90066464201587
2016;3;26;2;43.5786775095621;5.26642883853506
2016;3;26;3;63.6682882822672;-999
2016;3;26;4;49.8983968699137;10.7360169302039
2016;3;26;5;38.5990780934651;6.77263683326068
2016;3;26;6;48.5081409759521;21.5748554677542
2016;3;26;7;37.5028761993408;5.10315658274957
2016;3;26;8;45.6082360260009;4.19147304933662
2016;3;26;9;39.1221303858439;4.94821274117233
2016;3;26;10;42.6550336964925;5.85426349043121
2016;3;26;11;42.4112101526896;9.12761770535513
2016;3;26;12;26.3576557495117;2.49514953700824
2016;3;26;13;26.7110842793782;2.30682715867957
2016;3;26;14;28.7300022572835;2.17184021136557
2016;3;26;15;27.006235953776;2.04258698492293
2016;3;26;16;28.8958016011555;1.97072829356606
