year;month;day;hour;O3
2016;11;13;10;49.3249998092651
2016;11;13;11;55.4756666819254
2016;11;13;12;63.9296669006347
2016;11;13;13;69.0486662546793
2016;11;13;14;69.7840001424153
2016;11;13;15;71.6373335520426
2016;11;13;16;68.6893332799275
2016;11;13;17;63.2343335469563
2016;11;13;18;60.432333056132
2016;11;13;19;60.7133331934611
2016;11;13;20;55.8620002746582
2016;11;13;21;56.1176667531331
2016;11;13;22;51.3926664988199
2016;11;13;23;55.1819999059041
2016;11;14;0;56.5613334019978
2016;11;14;1;51.8100000381469
2016;11;14;2;51.5162498156229
2016;11;14;3;53.2995831171671
2016;11;14;4;55.8196667989095
2016;11;14;5;58.1670000712076
2016;11;14;6;62.0060000737508
2016;11;14;7;62.2956668853759
2016;11;14;8;62.2289999643961
2016;11;14;9;61.5156666437784
2016;11;14;10;63.7306665420532
2016;11;14;11;68.036666615804
2016;11;14;12;74.1119998931884
2016;11;14;13;78.2193333943684
2016;11;14;14;79.690666325887
2016;11;14;15;79.3900002797444
2016;11;14;16;78.1536665598551
2016;11;14;17;73.4236663818359
2016;11;14;18;66.9556668599446
2016;11;14;19;65.547000058492
2016;11;14;20;64.5706666310628
2016;11;14;21;65.8716669718424
2016;11;14;22;63.7426666259765
2016;11;14;23;62.3616666793823
2016;11;15;0;60.5706667582194
2016;11;15;1;60.1470001856486
2016;11;15;2;61.1616668701171
2016;11;15;3;59.7166667779286
2016;11;15;4;60.5353331883748
2016;11;15;5;59.6700000762939
2016;11;15;6;59.5403330485026
2016;11;15;7;58.7196669896443
2016;11;15;8;57.5136668523152
2016;11;15;9;58.3633332570393
2016;11;15;10;62.4346665064493
2016;11;15;11;69.0566665649414
2016;11;15;12;75.2900002797444
2016;11;15;13;77.9596670786539
2016;11;15;14;79.6576665242513
2016;11;15;15;80.7243334452311
2016;11;15;16;78.012333424886
2016;11;15;17;73.8079999287923
2016;11;15;18;66.435667292277
2016;11;15;19;66.3586668014526
2016;11;15;20;64.201999982198
2016;11;15;21;64.3593333562215
2016;11;15;22;61.1533334096272
2016;11;15;23;57.6176664988199
2016;11;16;0;58.0990001042683
2016;11;16;1;56.2173334757486
2016;11;16;2;54.4187500476837
2016;11;16;3;48.9624996980031
2016;11;16;4;50.4093332290649
2016;11;16;5;48.260666847229
2016;11;16;6;45.146666653951
2016;11;16;7;45.2350001653035
2016;11;16;8;41.9389998118082
2016;11;16;9;46.2339996973673
2016;11;16;10;50.8413332621256
2016;11;16;11;58.0746666590372
2016;11;16;12;68.8299999872843
2016;11;16;13;74.7776666005452
2016;11;16;14;80.1836666107177
2016;11;16;15;84.8326670328776
2016;11;16;16;85.1233337402343
2016;11;16;17;80.2503332773844
2016;11;16;18;79.0306666692098
2016;11;16;19;66.3906664530436
2016;11;16;20;64.6959999084472
2016;11;16;21;59.3810001373291
2016;11;16;22;44.2603335062662
2016;11;16;23;45.3026664733886
2016;11;17;0;51.5390001932779
2016;11;17;1;49.1199999491373
2016;11;17;2;42.4795832633972
2016;11;17;3;38.1370831330617
2016;11;17;4;43.771666653951
2016;11;17;5;38.4960000356038
2016;11;17;6;37.401999982198
2016;11;17;7;38.8210000356038
2016;11;17;8;37.5106667200724
2016;11;17;9;42.4569999694824
2016;11;17;10;52.7906664530436
2016;11;17;11;62.2366666793823
2016;11;17;12;70.2293332417806
2016;11;17;13;75.3326665242513
2016;11;17;14;80.6126673380533
2016;11;17;15;85.2320003509521
2016;11;17;16;88.6493335723876
2016;11;17;17;86.9070003509521
2016;11;17;18;81.9033338546753
2016;11;17;19;67.2126662572225
2016;11;17;20;64.2869998296102
2016;11;17;21;64.4126670837402
2016;11;17;22;59.4516667683919
2016;11;17;23;55.2703334808349
2016;11;18;0;51.8680000305175
2016;11;18;1;53.3993331909179
2016;11;18;2;54.5150000254313
2016;11;18;3;53.8812499841054
2016;11;18;4;54.3006665547688
2016;11;18;5;55.0566665013631
2016;11;18;6;52.3646666844685
2016;11;18;7;46.8540000279744
2016;11;18;8;45.5920002619425
2016;11;18;9;54.7026666641235
2016;11;18;10;56.5746667226155
2016;11;18;11;64.6473331451416
2016;11;18;12;76.0376669565836
2016;11;18;13;84.0749998728434
2016;11;18;14;83.5446665445963
2016;11;18;15;81.4150002797444
2016;11;18;16;76.7056666056315
2016;11;18;17;70.1039999008178
2016;11;18;18;66.6586662928263
2016;11;18;19;63.5719998677571
2016;11;18;20;63.3463335673014
2016;11;18;21;59.3740000406901
2016;11;18;22;61.8956670125325
2016;11;18;23;59.3130001703898
2016;11;19;0;59.8763334274292
2016;11;19;1;57.0753332773844
2016;11;19;2;58.7374999523162
2016;11;19;3;68.7470834255218
2016;11;19;4;73.9900005340576
2016;11;19;5;72.5863333384195
2016;11;19;6;70.4166666666666
2016;11;19;7;69.1813335418701
2016;11;19;8;68.3320002237955
2016;11;19;9;70.0973331451416
2016;11;19;10;70.7210004170735
2016;11;19;11;69.5033331553141
2016;11;19;12;73.2113337198893
2016;11;19;13;76.0656665802002
2016;11;19;14;77.2976666768392
2016;11;19;15;80.1606670379638
2016;11;19;16;82.5726670583089
2016;11;19;17;83.8580001831054
2016;11;19;18;83.4426672617594
2016;11;19;19;82.7650001525878
2016;11;19;20;82.6103340148925
2016;11;19;21;82.6456667582194
2016;11;19;22;81.5423330942789
2016;11;19;23;80.3326667785644
2016;11;20;0;80.6450002034505
2016;11;20;1;80.5840003967285
2016;11;20;2;83.3545834223429
2016;11;20;3;81.1483337084452
2016;11;20;4;79.9206670125325
2016;11;20;5;82.5133335113525
2016;11;20;6;79.2870001475016
2016;11;20;7;74.9993333180745
2016;11;20;8;76.5746665954589
2016;11;20;9;66.1826670964558
2016;11;20;10;72.2176666259765
2016;11;20;11;78.2126667022705
2016;11;20;12;80.2759999593099
2016;11;20;13;77.7916669209798
2016;11;20;14;74.6563334147135
2016;11;20;15;73.0893328984578
2016;11;20;16;67.733666229248
2016;11;20;17;72.9643333435058
2016;11;20;18;69.0946671168009
2016;11;20;19;67.6066666285196
2016;11;20;20;56.8246665318806
2016;11;20;21;46.7876666386922
2016;11;20;22;41.4006665547688
2016;11;20;23;36.9253330866495
2016;11;21;0;38.3963334401448
2016;11;21;1;36.0496668179829
2016;11;21;2;35.6233331362406
2016;11;21;3;32.8575001160303
2016;11;21;4;32.375999991099
2016;11;21;5;33.1113334655761
2016;11;21;6;29.8776668548583
2016;11;21;7;23.1409999847412
2016;11;21;8;25.6136665344238
2016;11;21;9;33.0853334744771
2016;11;21;10;39.1206665674845
2016;11;21;11;49.0143334706624
2016;11;21;12;58.1899998346964
2016;11;21;13;64.2793333053588
2016;11;21;14;68.3596665700276
2016;11;21;15;68.8273334503173
2016;11;21;16;69.7550000508626
2016;11;21;17;68.4576670328776
2016;11;21;18;79.7736667633056
2016;11;21;19;71.1006664911906
2016;11;21;20;64.9723339716593
2016;11;21;21;52.2613333384196
2016;11;21;22;51.6083335240681
2016;11;21;23;42.4619998931884
2016;11;22;0;40.6736668904622
2016;11;22;1;38.2073333104451
2016;11;22;2;38.4595835208892
2016;11;22;3;35.0304163297017
2016;11;22;4;34.2090000152587
2016;11;22;5;35.4956666310628
2016;11;22;6;38.0366666793823
2016;11;22;7;37.0996666272481
2016;11;22;8;35.7149998029073
2016;11;22;9;40.4676667531331
2016;11;22;10;42.5526668548584
2016;11;22;11;53.4116664886474
2016;11;22;12;57.6036664962768
2016;11;22;13;62.5973335266113
2016;11;22;14;66.068333307902
2016;11;22;15;71.337666829427
2016;11;22;16;78.1116663614908
2016;11;22;17;82.2723333994547
2016;11;22;18;66.8926665623982
2016;11;22;19;64.0919998804728
2016;11;22;20;53.6509999593098
2016;11;22;21;44.8836665153503
2016;11;22;22;41.5220002492268
2016;11;22;23;42.6803332646687
2016;11;23;0;29.232333278656
2016;11;23;1;29.06533314387
2016;11;23;2;35.3445835113525
2016;11;23;3;32.815000017484
2016;11;23;4;30.4933331171671
2016;11;23;5;30.9463333447774
2016;11;23;6;30.4083333651224
2016;11;23;7;30.1320000648498
2016;11;23;8;30.4096667289733
2016;11;23;9;32.1609999974568
2016;11;23;10;36.7873330752054
2016;11;23;11;45.7543334325154
2016;11;23;12;54.0283329010009
2016;11;23;13;59.1446667353312
2016;11;23;14;72.8113334655761
2016;11;23;15;85.382666905721
2016;11;23;16;84.462666829427
2016;11;23;17;85.203999710083
2016;11;23;18;85.0546666463216
2016;11;23;19;82.3476675669352
2016;11;23;20;77.6780001322428
2016;11;23;21;66.5503335316975
2016;11;23;22;48.1073334376017
2016;11;23;23;50.3889999389648
2016;11;24;0;34.8856666882832
2016;11;24;1;42.2076666514078
2016;11;24;2;42.796666542689
2016;11;24;3;40.18541653951
2016;11;24;4;38.5026668548584
2016;11;24;5;38.0046665827433
2016;11;24;6;35.0929998715718
2016;11;24;7;34.8863333702087
2016;11;24;8;36.3846666336059
2016;11;24;9;33.7160000801086
2016;11;24;10;43.0093334197998
2016;11;24;11;50.3203334172566
2016;11;24;12;60.1343333562215
2016;11;24;13;73.9763333638509
2016;11;24;14;81.2056668599446
2016;11;24;15;84.0830001831054
2016;11;24;16;83.7900000254313
2016;11;24;17;81.9176666259765
2016;11;24;18;75.2696667989095
2016;11;24;19;65.2896669387817
2016;11;24;20;63.1439997990926
2016;11;24;21;52.7580000559488
2016;11;24;22;49.0683332443237
2016;11;24;23;50.4883331934611
2016;11;25;0;49.6906666437784
2016;11;25;1;47.0213334401448
2016;11;25;2;51.8504167397817
2016;11;25;3;50.25
2016;11;25;4;44.8273337046305
2016;11;25;5;46.4930000305175
2016;11;25;6;45.1740001042683
2016;11;25;7;45.412000020345
2016;11;25;8;40.001333173116
2016;11;25;9;42.0979999542236
2016;11;25;10;39.7009999593099
2016;11;25;11;38.7200001398722
2016;11;25;12;43.7080001195271
2016;11;25;13;47.7463332494099
2016;11;25;14;56.4739999771118
2016;11;25;15;57.7059999465942
2016;11;25;16;60.1133333841959
2016;11;25;17;55.2446666717529
2016;11;25;18;51.7279998779296
2016;11;25;19;52.3130001068115
2016;11;25;20;60.2853333155314
2016;11;25;21;57.7276665369669
2016;11;25;22;57.1626666386922
2016;11;25;23;62.5129997253418
2016;11;26;0;61.2763334274292
2016;11;26;1;55.7806666692098
2016;11;26;2;58.7341667016347
2016;11;26;3;55.2499998410542
2016;11;26;4;54.0043333689371
2016;11;26;5;62.8033332824707
2016;11;26;6;55.9230001449584
2016;11;26;7;63.4240000406901
2016;11;26;8;62.514666557312
2016;11;26;9;51.6743331273396
2016;11;26;10;53.6176666259765
2016;11;26;11;53.3823331197102
2016;11;26;12;60.9976669311523
2016;11;26;13;59.258666674296
2016;11;26;14;66.0276666005452
2016;11;26;15;69.3520000457763
2016;11;26;16;81.1910003662109
2016;11;26;17;84.208999633789
2016;11;26;18;71.2536668141683
2016;11;26;19;67.3986668904622
2016;11;26;20;72.344000116984
2016;11;26;21;75.115666770935
2016;11;26;22;69.1866666793823
2016;11;26;23;64.345000330607
2016;11;27;0;57.7203335444132
2016;11;27;1;57.8063333511352
2016;11;27;2;54.2516669432322
2016;11;27;3;42.620416800181
2016;11;27;4;44.5086665471394
2016;11;27;5;46.6776667277018
2016;11;27;6;43.3310000101725
2016;11;27;7;37.9043333689371
2016;11;27;8;33.2873332341512
2016;11;27;9;37.5813335418701
2016;11;27;10;37.7629999796549
2016;11;27;11;40.187666829427
2016;11;27;12;43.3696663538614
2016;11;27;13;50.7979997634887
2016;11;27;14;54.1593333562215
2016;11;27;15;60.8630001703898
2016;11;27;16;73.1403331756591
2016;11;27;17;76.8750003814697
2016;11;27;18;70.5910002390543
2016;11;27;19;54.8926664988199
2016;11;27;20;41.9383333841959
2016;11;27;21;39.1223333676656
2016;11;27;22;34.9046664873759
2016;11;27;23;36.1633333841959
2016;11;28;0;33.6713335355122
2016;11;28;1;31.2836667696634
2016;11;28;2;27.8799998760223
2016;11;28;3;27.3908333778381
2016;11;28;4;28.4933332761128
2016;11;28;5;23.6526665687561
2016;11;28;6;22.4939999262491
2016;11;28;7;29.6196665445963
2016;11;28;8;28.9676666577657
2016;11;28;9;31.7240000089009
2016;11;28;10;49.3586667378743
2016;11;28;11;59.1010000864664
