year;month;day;hour;NO2;NOx;O3;PM10;SO2;NO
2016;7;3;0;43.7412830128567;52.7630111722379;-999;24.64893;-999;5.88394090729517
2016;7;3;1;23.1689436758743;27.9392395566869;-999;28.1908;-999;3.11117100594837
2016;7;3;2;-999;-999;-999;23.40875;-999;-999
2016;7;3;3;3.09681489756827;5.04369615508328;-999;15.2635;-999;1.26974943939394
2016;7;3;4;1.50426114099676;3.24481983862222;194.117918122861;5.00574;-999;1.13518655645342
2016;7;3;5;2.87037835161585;4.97198124126869;160.163918712572;14.87463;-999;1.37065836997755
2016;7;3;6;3.41771708224137;6.59415799491583;144.71718361954;14.38066;-999;2.07166413080808
2016;7;3;7;6.79052987986832;10.7040500546774;137.63635904193;9.40943;-999;2.55238475836139
2016;7;3;8;7.6281930717479;13.1853520180539;135.044420597763;5.95164;-999;3.6243604634119
2016;7;3;9;11.1692143092678;19.4550858324404;105.920710269789;3.33465;-999;5.40401767227834
2016;7;3;10;14.7128680908858;28.5539908728215;96.0636616159042;16.23042;-999;9.02713394826038
2016;7;3;11;6.01746077276762;14.2131707246061;90.8701806706672;8.2218;-999;5.34521459725028
2016;7;3;12;8.25162370967936;19.3614562418945;86.2623025041515;14.32811;-999;7.24579558978676
2016;7;3;13;5.59717870754576;14.3278118390483;87.0857531394676;10.41839;-999;5.69408970448934
2016;7;3;14;2.56655578952988;7.27837614590842;88.7004222392059;21.39083;-999;3.07303346464646
2016;7;3;15;1.33809853021989;4.52706535408575;91.0179347432945;8.08517;-999;2.07983348815937
2016;7;3;16;1.86546119013529;5.37324687091313;88.5028007718146;3.67097;-999;2.28776607946128
2016;7;3;17;4.98870499700689;9.4272356489257;85.2322468775161;6.37204;-999;2.89479483417508
2016;7;3;18;8.4799114310559;13.6031863147048;80.4898950152853;5.43665;-999;3.34138273007856
2016;7;3;19;7.44641907893918;11.6412763974905;78.7961569142512;5.55226;-999;2.73587190179574
2016;7;3;20;16.2803128397445;23.9637067595376;67.1194632302989;6.56122;-999;5.01108379601571
2016;7;3;21;43.1573599264742;58.2642331869046;38.9761713147896;8.93648;-999;9.85265217351291
2016;7;3;22;27.6225810895808;33.5087481266801;48.6396251433864;8.89444;-999;3.83893843894501
2016;7;3;23;21.0157691931854;25.732688328;51.8963914200885;7.99058;-999;3.07635887087542
2016;7;4;0;10.2974250051815;12.1867575541472;-999;8.97852;-999;1.23221636430976
2016;7;4;1;11.8905006281941;14.1580603406734;47.0521594041867;8.61067;-999;1.47889485432099
2016;7;4;2;10.0341989092605;11.9020376987749;44.7898919952382;9.30433;-999;1.21819820634119
2016;7;4;3;-999;-999;25.6971457862822;8.97852;-999;-999
2016;7;4;4;21.0477143884706;26.2525862372166;16.5714479194658;5.5943;-999;3.39459999758698
2016;7;4;5;24.7354318428997;46.7549837574097;13.2587491574514;8.00109;-999;14.3610780530303
2016;7;4;6;27.9338721748851;88.9882460831381;12.5907768939651;14.06536;-999;39.8194582968575
2016;7;4;7;28.3567458681008;88.1345873498631;15.6162361740136;25.80503;-999;38.9869081212121
2016;7;4;8;27.7095685891925;60.401224109899;29.3792388441337;24.24955;-999;21.3213883024691
2016;7;4;9;20.9666292086293;40.8344900695129;50.5087671784734;22.88325;-999;12.9577523501684
2016;7;4;10;11.319277807486;23.0388744904198;74.5677926740514;16.59827;-999;7.64348172783389
2016;7;4;11;8.66964880385037;18.1597319642873;84.806555396412;12.26815;-999;6.18940047126824
2016;7;4;12;8.64696850560431;17.515057017688;89.3075879890675;10.60757;-999;5.78373764360269
2016;7;4;13;7.14218667511858;13.6608175490721;93.1584608538395;10.92287;-999;4.25142923630752
2016;7;4;14;8.55167069178689;17.5386572998855;93.2438508111287;13.80261;-999;5.86128258383838
2016;7;4;15;13.3308515786476;27.2638173475331;93.229645229154;7.24437;-999;9.0870336369248
2016;7;4;16;14.0258485086498;27.813146399147;93.9458299224411;11.82673;-999;8.9920295342312
2016;7;4;17;14.4933677477982;26.4991195719372;94.4651502902954;8.15874;-999;7.83011115308642
2016;7;4;18;12.6606455061074;22.3781445763861;93.1625197142965;8.77883;-999;6.3377203664422
2016;7;4;19;20.105128913544;30.6466303925342;85.983289979305;23.59793;-999;6.87513197923681
2016;7;4;20;40.6902351600315;57.0162829531044;63.9561951851222;20.58156;-999;10.6477937227834
2016;7;4;21;49.6070002913304;63.2175042030348;43.87002353849;18.24834;-999;8.87672509304153
2016;7;4;22;39.0217336524249;52.6274377757845;40.1884639534898;18.65823;-999;8.87359468714927
2016;7;4;23;34.1493685530046;43.1480652170864;40.3256440486614;18.82639;-999;5.86891984315376
2016;7;5;0;30.0669295975659;33.9149976410819;40.483186617005;12.99334;-999;2.50969709741863
2016;7;5;1;45.2162044163282;101.187341664166;-999;21.9899;-999;36.5041883619529
2016;7;5;2;35.3281930420546;63.2431345458676;12.6280243231997;18.14324;-999;18.2060314096521
2016;7;5;3;28.5926870765702;36.4126427432323;11.2151353522229;17.98559;-999;5.10014891021324
2016;7;5;4;-999;-999;9.62149350320174;17.27091;-999;-999
2016;7;5;5;27.5778318072795;67.4535743540157;9.73903031586528;16.05175;-999;26.0068258136925
2016;7;5;6;27.4507048893727;56.5100699081392;23.0464072093901;22.80968;-999;18.9524205953984
2016;7;5;7;30.3761126631787;52.2407930917935;44.7479059346064;23.81864;-999;14.2600713883277
2016;7;5;8;41.8389611920867;115.662612164198;54.0037602263863;39.66772;-999;48.1475380555556
2016;7;5;9;21.5867442039332;34.2038735516274;74.6357294984777;34.94873;-999;8.22884952749719
