year;month;day;hour;NO2;NOx;O3;NO
2016;1;16;19;26.5741589797152;30.2183493956436;10.0675736039342;2.37672879114158
2016;1;16;20;27.5875868284625;36.6483904422739;12.9377679791713;5.90942578787804
2016;1;16;21;17.8429444754949;20.8474337049254;24.8531471272283;1.95951781856681
2016;1;16;22;25.3812688572293;31.9608223084646;19.3166963824697;4.29116273728578
2016;1;16;23;9.9504075759609;12.494951564406;37.4335372342681;1.65954307196185
2016;1;17;0;9.6429855279542;12.2011200790182;38.5845150766508;1.6684067914105
2016;1;17;1;9.38906028725129;12.0174996929054;39.362957023858;1.71425938224411
2016;1;17;2;7.27052076272236;9.50123808965626;42.3769847362574;1.45486637379005
2016;1;17;3;7.58961288110974;10.0205399865571;40.5956778634429;1.58544252117829
2016;1;17;4;9.04525360325524;11.4246768688413;31.5384552143712;1.55185188921854
2016;1;17;5;16.9104611422586;20.7468829807284;24.754107172229;2.50210148147062
2016;1;17;6;17.5817499226658;22.2719452497593;15.5181145476234;3.05892969293181
2016;1;17;7;16.8662352842709;20.617568271786;10.8556089824014;2.44660681769425
2016;1;17;8;14.4333396343609;17.3152672359794;12.1866920682229;1.87958353515603
2016;1;17;9;13.0260387424612;16.3246219423095;12.4267064118453;2.15132492165835
2016;1;17;10;16.4127540245407;23.7690863938559;10.7424610581707;4.79777534756064
2016;1;17;11;21.2423161307834;36.4712897309003;15.8421283625799;9.9322856063524
2016;1;17;12;25.160662524634;36.8333780339685;30.4304438928112;7.61290598333686
2016;1;17;13;12.3634257139601;18.762719250321;50.4075502494577;4.17359782418517
2016;1;17;14;5.07792909085719;7.95316490658378;58.2242996561252;1.87521917479658
2016;1;17;15;4.99577985929115;7.80167602066743;-999;1.82999608432857
2016;1;17;16;5.5346686310251;8.36957681337238;60.1693056079235;1.84891762729449
2016;1;17;17;-999;-999;59.7922125748778;-999
2016;1;17;18;6.71014210212294;8.75890015713201;54.5928971074919;1.33619314570936
2016;1;17;19;8.08230411658271;10.2557111521971;49.1735869041527;1.41748879362508
2016;1;17;20;6.0881247899519;8.18080473305793;48.4112058047506;1.36483885410733
2016;1;17;21;5.97724171808708;7.97540701152388;43.2593929125311;1.30319671596009
2016;1;17;22;6.53691589832234;8.85108693142927;41.0705623009611;1.50929460161315
2016;1;17;23;6.61917598900404;8.63612919242073;50.6958605962528;1.31545012796057
2016;1;18;0;8.01965043447916;10.2723580811658;48.4514537484573;1.469208386725
2016;1;18;1;7.77146418560746;9.9307316557832;47.4400985395594;1.40826701637508
2016;1;18;2;6.82893799589916;8.75393117209044;48.2360849983994;1.25547410602015
2016;1;18;3;6.46361040773591;8.56977864969631;48.7252784573606;1.37363587747103
2016;1;18;4;6.79764527602711;8.95497701453718;44.4188163978413;1.40700453866217
2016;1;18;5;7.66340042804383;9.89731019087479;43.3243013847499;1.45694846979613
2016;1;18;6;12.6108670193453;15.1538517617716;28.8628858300103;1.65852613692766
2016;1;18;7;17.0679844187758;20.1071444334311;17.633549414938;1.98212998863763
2016;1;18;8;26.4899498914408;39.859573633678;5.59259405023202;8.71962385280843
2016;1;18;9;32.2772090011149;70.5518295218648;3.05683521424061;24.9625793877485
2016;1;18;10;33.9035568772812;94.9755969037345;5.76738240816533;39.8309800800143
2016;1;18;11;53.5083021752936;131.56963515505;10.985353008669;50.9113400762323
2016;1;18;12;41.8475926432083;73.0013124345332;29.4401358351945;20.3183517676685
2016;1;18;13;15.2755339592169;20.8882070143678;51.1675710385079;3.66056657937928
2016;1;18;14;12.9492131563669;18.0434400961963;53.6515349011716;3.3224377583511
2016;1;18;15;11.7722008297273;16.4850477697886;55.1131812192327;3.07370299908811
2016;1;18;16;13.7264458765221;17.9805302665697;-999;2.77449959957604
2016;1;18;17;12.7388071418007;16.1278947940921;55.073857199603;2.21035162259802
2016;1;18;18;-999;-999;50.9031991455766;-999
2016;1;18;19;25.3277459012307;29.1579265218411;36.8804434312933;2.49803098007382
2016;1;18;20;36.0153885018981;43.7434436410053;18.8549872636716;5.04021169375874
2016;1;18;21;38.4678141146511;52.1816189284536;8.07545015009232;8.94409759561282
2016;1;18;22;30.7905594028475;40.284317089081;9.69730920878609;6.19179698469307
2016;1;18;23;30.8975004243757;40.8934072509241;6.41859141226677;6.51929697317247
2016;1;19;0;28.2464892605342;36.2415430991074;8.18949584424019;5.21434735183094
2016;1;19;1;27.1378656681404;39.5797137511899;5.91836097868639;8.11453167341146
