year;month;day;hour;PM10;PM25
2016;7;16;15;3.3659952821630399;1.7507256894049232
2016;7;16;16;3.3659952821630399;1.7507256894049232
2016;7;16;17;3.3659952821630399;1.7507256894049232
2016;7;16;18;3.3659952821630399;1.7507256894049232
2016;7;16;19;3.3659952821630399;1.7507256894049232
2016;7;16;20;3.3659952821630399;1.7507256894049232
2016;7;16;21;3.3659952821630399;1.7507256894049232
2016;7;16;22;3.3659952821630399;1.7507256894049232
2016;7;16;23;3.3659952821630399;1.7507256894049232
2016;7;17;0;12.028301886792399;8.7445573294631753
2016;7;17;1;12.028301886792399;8.7445573294631753
2016;7;17;2;12.028301886792399;8.7445573294631753
2016;7;17;3;12.028301886792399;8.7445573294631753
2016;7;17;4;12.028301886792399;8.7445573294631753
2016;7;17;5;12.028301886792399;8.7445573294631753
2016;7;17;6;12.028301886792399;8.7445573294631753
2016;7;17;7;12.028301886792399;8.7445573294631753
2016;7;17;8;12.028301886792399;8.7445573294631753
2016;7;17;9;12.028301886792399;8.7445573294631753
2016;7;17;10;12.028301886792399;8.7445573294631753
2016;7;17;11;12.028301886792399;8.7445573294631753
2016;7;17;12;12.028301886792399;8.7445573294631753
2016;7;17;13;12.028301886792399;8.7445573294631753
2016;7;17;14;12.028301886792399;8.7445573294631753
2016;7;17;15;12.028301886792399;8.7445573294631753
2016;7;17;16;12.028301886792399;8.7445573294631753
2016;7;17;17;12.028301886792399;8.7445573294631753
2016;7;17;18;12.028301886792399;8.7445573294631753
2016;7;17;19;12.028301886792399;8.7445573294631753
2016;7;17;20;12.028301886792399;8.7445573294631753
2016;7;17;21;12.028301886792399;8.7445573294631753
2016;7;17;22;12.028301886792399;8.7445573294631753
2016;7;17;23;12.028301886792399;8.7445573294631753
2016;7;18;0;11.486118671747317;4.2263740250319417
2016;7;18;1;11.486118671747317;4.2263740250319417
2016;7;18;2;11.486118671747317;4.2263740250319417
2016;7;18;3;11.486118671747317;4.2263740250319417
2016;7;18;4;11.486118671747317;4.2263740250319417
2016;7;18;5;11.486118671747317;4.2263740250319417
2016;7;18;6;11.486118671747317;4.2263740250319417
2016;7;18;7;11.486118671747317;4.2263740250319417
2016;7;18;8;11.486118671747317;4.2263740250319417
2016;7;18;9;11.486118671747317;4.2263740250319417
2016;7;18;10;11.486118671747317;4.2263740250319417
2016;7;18;11;11.486118671747317;4.2263740250319417
2016;7;18;12;11.486118671747317;4.2263740250319417
2016;7;18;13;11.486118671747317;4.2263740250319417
2016;7;18;14;11.486118671747317;4.2263740250319417
2016;7;18;15;11.486118671747317;4.2263740250319417
2016;7;18;16;11.486118671747317;4.2263740250319417
2016;7;18;17;11.486118671747317;4.2263740250319417
2016;7;18;18;11.486118671747317;4.2263740250319417
2016;7;18;19;11.486118671747317;4.2263740250319417
2016;7;18;20;11.486118671747317;4.2263740250319417
2016;7;18;21;11.486118671747317;4.2263740250319417
2016;7;18;22;11.486118671747317;4.2263740250319417
2016;7;18;23;11.486118671747317;4.2263740250319417
2016;7;19;0;12.481857764876528;7.8011611030476411
2016;7;19;1;12.481857764876528;7.8011611030476411
2016;7;19;2;12.481857764876528;7.8011611030476411
2016;7;19;3;12.481857764876528;7.8011611030476411
2016;7;19;4;12.481857764876528;7.8011611030476411
2016;7;19;5;12.481857764876528;7.8011611030476411
2016;7;19;6;12.481857764876528;7.8011611030476411
2016;7;19;7;12.481857764876528;7.8011611030476411
2016;7;19;8;12.481857764876528;7.8011611030476411
2016;7;19;9;12.481857764876528;7.8011611030476411
2016;7;19;10;12.481857764876528;7.8011611030476411
2016;7;19;11;12.481857764876528;7.8011611030476411
2016;7;19;12;12.481857764876528;7.8011611030476411
2016;7;19;13;12.481857764876528;7.8011611030476411
2016;7;19;14;12.481857764876528;7.8011611030476411
2016;7;19;15;12.481857764876528;7.8011611030476411
2016;7;19;16;12.481857764876528;7.8011611030476411
2016;7;19;17;12.481857764876528;7.8011611030476411
2016;7;19;18;12.481857764876528;7.8011611030476411
2016;7;19;19;12.481857764876528;7.8011611030476411
2016;7;19;20;12.481857764876528;7.8011611030476411
2016;7;19;21;12.481857764876528;7.8011611030476411
2016;7;19;22;12.481857764876528;7.8011611030476411
2016;7;19;23;12.481857764876528;7.8011611030476411
2016;7;2;0;25.743831640058122;22.587082728592094
2016;7;2;1;25.743831640058122;22.587082728592094
2016;7;2;2;25.743831640058122;22.587082728592094
2016;7;2;3;25.743831640058122;22.587082728592094
2016;7;2;4;25.743831640058122;22.587082728592094
2016;7;2;5;25.743831640058122;22.587082728592094
2016;7;2;6;25.743831640058122;22.587082728592094
2016;7;2;7;25.743831640058122;22.587082728592094
2016;7;2;8;25.743831640058122;22.587082728592094
2016;7;2;9;25.743831640058122;22.587082728592094
2016;7;2;10;25.743831640058122;22.587082728592094
2016;7;2;11;25.743831640058122;22.587082728592094
2016;7;2;12;25.743831640058122;22.587082728592094
2016;7;2;13;25.743831640058122;22.587082728592094
2016;7;2;14;25.743831640058122;22.587082728592094
2016;7;2;15;25.743831640058122;22.587082728592094
2016;7;2;16;25.743831640058122;22.587082728592094
2016;7;2;17;25.743831640058122;22.587082728592094
2016;7;2;18;25.743831640058122;22.587082728592094
2016;7;2;19;25.743831640058122;22.587082728592094
2016;7;2;20;25.743831640058122;22.587082728592094
2016;7;2;21;25.743831640058122;22.587082728592094
2016;7;2;22;25.743831640058122;22.587082728592094
2016;7;2;23;25.743831640058122;22.587082728592094
2016;7;20;0;22.106313497823134;17.371190130624093
2016;7;20;1;22.106313497823134;17.371190130624093
2016;7;20;2;22.106313497823134;17.371190130624093
2016;7;20;3;22.106313497823134;17.371190130624093
2016;7;20;4;22.106313497823134;17.371190130624093
2016;7;20;5;22.106313497823134;17.371190130624093
2016;7;20;6;22.106313497823134;17.371190130624093
2016;7;20;7;22.106313497823134;17.371190130624093
2016;7;20;8;22.106313497823134;17.371190130624093
2016;7;20;9;22.106313497823134;17.371190130624093
2016;7;20;10;22.106313497823134;17.371190130624093
2016;7;20;11;22.106313497823134;17.371190130624093
2016;7;20;12;22.106313497823134;17.371190130624093
2016;7;20;13;22.106313497823134;17.371190130624093
2016;7;20;14;22.106313497823134;17.371190130624093
2016;7;20;15;22.106313497823134;17.371190130624093
2016;7;20;16;22.106313497823134;17.371190130624093
2016;7;20;17;22.106313497823134;17.371190130624093
2016;7;20;18;22.106313497823134;17.371190130624093
2016;7;20;19;22.106313497823134;17.371190130624093
2016;7;20;20;22.106313497823134;17.371190130624093
2016;7;20;21;22.106313497823134;17.371190130624093
2016;7;20;22;22.106313497823134;17.371190130624093
2016;7;20;23;22.106313497823134;17.371190130624093
2016;7;21;0;19.339622641509138;14.230001813894816
2016;7;21;1;19.339622641509138;14.230001813894816
2016;7;21;2;19.339622641509138;14.230001813894816
2016;7;21;3;19.339622641509138;14.230001813894816
2016;7;21;4;19.339622641509138;14.230001813894816
2016;7;21;5;19.339622641509138;14.230001813894816
2016;7;21;6;19.339622641509138;14.230001813894816
2016;7;21;7;19.339622641509138;14.230001813894816
2016;7;21;8;19.339622641509138;14.230001813894816
2016;7;21;9;19.339622641509138;14.230001813894816
2016;7;21;10;19.339622641509138;14.230001813894816
2016;7;21;11;19.339622641509138;14.230001813894816
2016;7;21;12;19.339622641509138;14.230001813894816
2016;7;21;13;19.339622641509138;14.230001813894816
2016;7;21;14;19.339622641509138;14.230001813894816
2016;7;21;15;19.339622641509138;14.230001813894816
2016;7;21;16;19.339622641509138;14.230001813894816
2016;7;21;17;19.339622641509138;14.230001813894816
2016;7;21;18;19.339622641509138;14.230001813894816
2016;7;21;19;19.339622641509138;14.230001813894816
2016;7;21;20;19.339622641509138;14.230001813894816
2016;7;21;21;19.339622641509138;14.230001813894816
2016;7;21;22;19.339622641509138;14.230001813894816
2016;7;21;23;19.339622641509138;14.230001813894816
2016;7;22;0;29.009433962264463;25.589622641509091
2016;7;22;1;29.009433962264463;25.589622641509091
2016;7;22;2;29.009433962264463;25.589622641509091
2016;7;22;3;29.009433962264463;25.589622641509091
2016;7;22;4;29.009433962264463;25.589622641509091
2016;7;22;5;29.009433962264463;25.589622641509091
2016;7;22;6;29.009433962264463;25.589622641509091
2016;7;22;7;29.009433962264463;25.589622641509091
2016;7;22;8;29.009433962264463;25.589622641509091
2016;7;22;9;29.009433962264463;25.589622641509091
2016;7;22;10;29.009433962264463;25.589622641509091
2016;7;22;11;29.009433962264463;25.589622641509091
2016;7;22;12;29.009433962264463;25.589622641509091
2016;7;22;13;29.009433962264463;25.589622641509091
2016;7;22;14;29.009433962264463;25.589622641509091
2016;7;22;15;29.009433962264463;25.589622641509091
2016;7;22;16;29.009433962264463;25.589622641509091
2016;7;22;17;29.009433962264463;25.589622641509091
2016;7;22;18;29.009433962264463;25.589622641509091
2016;7;22;19;29.009433962264463;25.589622641509091
2016;7;22;20;29.009433962264463;25.589622641509091
2016;7;22;21;29.009433962264463;25.589622641509091
2016;7;22;22;29.009433962264463;25.589622641509091
2016;7;22;23;29.009433962264463;25.589622641509091
2016;7;23;0;27.675979680696898;16.424682395644592
2016;7;23;1;27.675979680696898;16.424682395644592
2016;7;23;2;27.675979680696898;16.424682395644592
2016;7;23;3;27.675979680696898;16.424682395644592
2016;7;23;4;27.675979680696898;16.424682395644592
2016;7;23;5;27.675979680696898;16.424682395644592
2016;7;23;6;27.675979680696898;16.424682395644592
2016;7;23;7;27.675979680696898;16.424682395644592
2016;7;23;8;27.675979680696898;16.424682395644592
2016;7;23;9;27.675979680696898;16.424682395644592
2016;7;23;10;27.675979680696898;16.424682395644592
2016;7;23;11;27.675979680696898;16.424682395644592
2016;7;23;12;27.675979680696898;16.424682395644592
2016;7;23;13;27.675979680696898;16.424682395644592
2016;7;23;14;27.675979680696898;16.424682395644592
2016;7;23;15;27.675979680696898;16.424682395644592
2016;7;23;16;27.675979680696898;16.424682395644592
2016;7;23;17;27.675979680696898;16.424682395644592
2016;7;23;18;27.675979680696898;16.424682395644592
2016;7;23;19;27.675979680696898;16.424682395644592
2016;7;23;20;27.675979680696898;16.424682395644592
2016;7;23;21;27.675979680696898;16.424682395644592
2016;7;23;22;27.675979680696898;16.424682395644592
2016;7;23;23;27.675979680696898;16.424682395644592
2016;7;24;0;20.769091238890024;18.350870827285895
2016;7;24;1;20.769091238890024;18.350870827285895
2016;7;24;2;20.769091238890024;18.350870827285895
2016;7;24;3;20.769091238890024;18.350870827285895
2016;7;24;4;20.769091238890024;18.350870827285895
2016;7;24;5;20.769091238890024;18.350870827285895
2016;7;24;6;20.769091238890024;18.350870827285895
2016;7;24;7;20.769091238890024;18.350870827285895
2016;7;24;8;20.769091238890024;18.350870827285895
2016;7;24;9;20.769091238890024;18.350870827285895
2016;7;24;10;20.769091238890024;18.350870827285895
2016;7;24;11;20.769091238890024;18.350870827285895
2016;7;24;12;20.769091238890024;18.350870827285895
2016;7;24;13;20.769091238890024;18.350870827285895
2016;7;24;14;20.769091238890024;18.350870827285895
